name,url,category,sources,valid,http_status,error
James Briggs (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCv83tO5cePwHMt1952IVVHw,video,github,YES,200,
Jeremy Howard (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCX7Y2qWriXpqocG97SFW2OQ,video,github,YES,200,
Joma Tech (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCV0qA-eDDICsRR9rPcnG7tw,video,github,YES,200,
Jordan Harrod (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UC1H1NWNTG2Xi3pt85ykVSHA,video,github,YES,200,
Kaggle (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCSNeZleDn9c74yQc-EKnVTA,video,github,YES,200,
Keith Galli (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCq6XkhO5SZ66N04IcPbqNcw,video,github,YES,200,
Ken Jee (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCiT9RITQ9PW6BhXK0y2jaeg,video,github,YES,200,
LlamaIndex (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCeRjipR4_SsCddq9VZ2AeKg,video,github,YES,200,
Machine Learning Street Talk (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCMLtBahI5DMrt0NPvDSoIRQ,video,github,YES,200,
Manning Publications (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCDia_lkNYKLJVRLQl_-pFw,video,github,NO,404,Not Found
Martin Thissen (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCXx0JWOKERPZdzczPfY-huA,video,github,YES,200,
Matt Wolfe (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UChpleBmo18P08aKCIgti38g,video,github,YES,200,
MLOps.community (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCG6qpjVnBTTT8wLGBygANOQ,video,github,YES,200,
Nicholas Renotte (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCHXa4OpASJEwrHrLeIzw7Yg,video,github,YES,200,
NVIDIA (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCHuiy8bXnmK5nisYHUd1J5g,video,github,YES,200,
Olivio Sarikas (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCCKx8mAHiFus-XYQLy_WnaA,video,github,YES,200,
Patrick Loeber (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCbXgNpp0jedKWcQiULLbDTA,video,github,YES,200,
Playground AI (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCUbLzJ30GLE1F5OSWNoYs9g,video,github,YES,200,
Prompt Engineering (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCDq7SjbgRKty5TgGafW8Clg,video,github,YES,200,
Rabbitmetrics (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCNszHNG0PlhWJdtNqFvwMWw,video,github,YES,200,
Reuven Lerner (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCBqMxo5ch1NN0hZsM58gf6Q,video,github,YES,200,
Sam Witteveen (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UC55ODQSvARtgSyc8ThfiepQ,video,github,YES,200,
sentdex (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCfzlCWGWYyIQ0aLC5w48gBQ,video,github,YES,200,
Super Data Science Podcast (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCMbtqTGdSsxYYhhTpV4lSTQ,video,github,YES,200,
TensorFlow (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UC0rqucBdTuFTjJiefW5t-IQ,video,github,YES,200,
The AI Advantage (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCHhYXsLBEVVnbvsq57n1MTQ,video,github,YES,200,
The Data Scientist Show (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCa0RTSXWyZdh7IciV9r-3ow,video,github,YES,200,
Thu Vu data analytics (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCJQJAI7IjbLcpsjWdSzYz0Q,video,github,YES,200,
Towards Data Science (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCuHZ1UYfHRqk3-5N5oc97Kw,video,github,YES,200,
Two Minute Papers (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCbfYPyITQ-7l4upoX8nvctg,video,github,YES,200,
Unconventional Coding (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCqp4QHWfVYd65onoyraiYvg,video,github,YES,200,
Venelin Valkov (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCoW_WzQNJVAjxo4osNAxd_g,video,github,YES,200,
Weights & Biases (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCBp3w4DCEC64FZr4k9ROxig,video,github,YES,200,
What's AI by Louis Bouchard (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCUzGQrN-lyyc0BWTYoJM_Sg,video,github,YES,200,
Wolfram (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCJekgf6k62CQHdENWf2NgAQ,video,github,YES,200,
WorldofAI (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UC2WmuBuFq6gL08QYG-JjXKw,video,github,YES,200,
Yannic Kilcher (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCZHmQk67mSJgfCCTn7xBfew,video,github,YES,200,
